,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation,win_prob_candidate
149,Kelly Ayotte,Kelly_Ayotte,2016,http://www.ontheissues.org/Senate/Kelly_Ayotte.htm,353525.0,0,0.479,5.0,-5.0,5.0,0.0,5.0,5.0,5.0,2.5,5.0,5.0,5.0,5.0,0.0,5.0,5.0,-5.0,5.0,5.0,5.0,5.0,1.0,32.5,35.0,R,-14.7047898844,-2.83942247864,0,NH,New Hampshire,0.7106,0.2316,1,0,0,0.58885511358,4.25378844967,0.138430747214,0.91259756907
166,Lisa Murkowski,Lisa_Murkowski,2016,http://www.ontheissues.org/Senate/Lisa_Murkowski.htm,111382.0,1,0.443,2.5,-2.5,5.0,5.0,-2.5,2.5,2.5,-2.5,2.5,5.0,5.0,2.5,5.0,5.0,5.0,-2.5,5.0,5.0,5.0,2.5,1.0,27.5,27.5,R,-10.8204160509,-6.3511462998,5,AK,Alaska,0.7038,0.2608,1,1,0,0.541813054127,8.52724820281,0.063539027039,0.921753642226
167,Loretta Sanchez,Loretta_Sanchez,2016,http://www.ontheissues.org/Senate/Loretta_Sanchez.htm,3918486.0,0,0.376,-5.0,-5.0,-5.0,-2.5,-5.0,-2.5,-5.0,-5.0,-2.5,-2.5,-2.5,-5.0,-2.5,-5.0,2.5,-2.5,-2.5,-5.0,-5.0,-2.5,0.0,-32.5,-37.5,D,17.0317600215,3.73717151648,2,CA,California,0.5284,0.1524,0,1,1,1.44721387439,0.177191875792,8.16749564797,0.418559411834
168,Maggie Hassan,Maggie_Hassan,2016,http://www.ontheissues.org/Senate/Maggie_Hassan.htm,354268.0,1,0.48,-5.0,-5.0,-5.0,0.0,-5.0,0.0,-5.0,2.5,2.5,-2.5,0.0,2.5,2.5,2.5,2.5,-2.5,5.0,-5.0,-2.5,-5.0,0.0,0.0,-22.5,D,8.13244284724,-2.76660116978,1,NH,New Hampshire,0.4281,-0.0519,0,0,0,0.58885511358,4.25378844967,0.138430747214,0.0874024309302
170,Marco Rubio,Marco_Rubio,2016,http://www.ontheissues.org/Senate/Marco_Rubio.htm,4822182.0,1,0.52,5.0,2.5,5.0,5.0,2.5,-2.5,5.0,5.0,2.5,5.0,5.0,2.5,2.5,2.5,5.0,-2.5,5.0,2.5,5.0,5.0,1.0,37.5,30.0,R,-13.8305283109,-1.81252378126,0,FL,Florida,0.6054,0.0854,1,1,1,1.32049036832,0.304201040953,4.34084763216,0.682622204969
171,Margaret Flowers,Margaret_Flowers,2016,http://www.ontheissues.org/Senate/Margaret_Flowers.htm,78752.0,0,0.032,-5.0,0.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,0.0,-5.0,0.0,-35.0,-35.0,O,16.7942258305,4.80796952187,2,MD,Maryland,0.1568,0.1248,0,1,0,,1.06139074183,,
174,Mark Callahan,Mark_Callahan,2016,http://www.ontheissues.org/Senate/Mark_Callahan.htm,616203.0,0,0.336,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,2.5,-2.5,5.0,5.0,0.0,2.5,0.0,30.0,32.5,R,-14.3184967356,3.09389383533,3,OR,Oregon,0.4621,0.1261,0,1,1,1.38094847605,1.47149494041,0.938466343395,0.356104253615
177,Mark Kirk,Mark_Kirk,2016,http://www.ontheissues.org/Senate/Mark_Kirk.htm,2150099.0,0,0.402,-5.0,-2.5,-5.0,2.5,2.5,2.5,2.5,-5.0,2.5,-5.0,5.0,0.0,2.5,5.0,2.5,-5.0,2.5,-2.5,2.5,2.5,1.0,-7.5,12.5,R,1.21790301194,-4.57167595513,4,IL,Illinois,0.5831,0.1811,1,0,0,1.25165855995,0.495679206689,2.52513832144,0.717987539708
189,Michael Bennet,Michael_Bennet,2016,http://www.ontheissues.org/Senate/Michael_Bennet.htm,1246357.0,1,0.492,-5.0,-5.0,-5.0,0.0,-2.5,-5.0,-2.5,-2.5,0.0,-2.5,-5.0,-5.0,2.5,-5.0,5.0,-5.0,2.5,-2.5,5.0,-2.5,1.0,-10.0,-30.0,D,12.4581240358,-5.71162734844,1,CO,Colorado,0.5065,0.0145,0,0,1,1.46805556669,1.11763729519,1.31353487666,0.453541122906
192,Mike Crapo,Michael_Crapo,2016,http://www.ontheissues.org/Senate/Michael_Crapo.htm,447342.0,1,0.661,5.0,-2.5,5.0,5.0,2.5,5.0,5.0,-2.5,5.0,5.0,5.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,2.5,2.5,1.0,40.0,35.0,R,-15.2852885523,-3.59627110701,0,ID,Idaho,0.6178,-0.0432,1,1,0,0.635297475959,3.79787650015,0.16727702334,0.903159508406
197,Mike Lee,Mike_Lee,2016,http://www.ontheissues.org/Senate/Mike_Lee.htm,659769.0,1,0.68,5.0,2.5,5.0,5.0,5.0,2.5,2.5,5.0,-2.5,5.0,5.0,5.0,5.0,5.0,5.0,-2.5,5.0,5.0,0.0,5.0,1.0,30.0,42.5,R,-16.2782783455,3.67714778408,3,UT,Utah,0.6631,-0.0169,1,1,0,0.586937895814,2.22089695523,0.264279661617,0.91297853669
201,Mike Workman,Mike_Workman,2016,http://www.ontheissues.org/Senate/Mike_Workman.htm,355389.0,0,0.246,-5.0,0.0,-5.0,0.0,-5.0,0.0,-5.0,0.0,0.0,5.0,0.0,-5.0,-2.5,0.0,0.0,-5.0,0.0,-5.0,0.0,-2.5,0.0,-20.0,-15.0,D,9.38643512485,-0.322440170908,1,OK,Oklahoma,0.3558,0.1098,0,1,0,0.502390018358,1.598027899,0.314381256218,0.0708727044023
202,Misty Snow,Misty_Snow,2016,http://www.ontheissues.org/Senate/Misty_Snow.htm,265674.0,0,0.274,-5.0,-5.0,-5.0,0.0,-5.0,2.5,0.0,-5.0,-5.0,-5.0,0.0,-5.0,0.0,0.0,0.0,-5.0,0.0,-5.0,-5.0,0.0,0.0,-35.0,-17.5,D,12.4486848302,3.55754839046,7,UT,Utah,0.3801,0.1061,0,1,0,0.586937895814,2.22089695523,0.264279661617,0.0870214633105
211,Pat Toomey,Pat_Toomey,2016,http://www.ontheissues.org/Senate/Pat_Toomey.htm,2893833.0,1,0.489,5.0,-2.5,5.0,5.0,2.5,5.0,5.0,5.0,2.5,5.0,5.0,5.0,2.5,5.0,5.0,2.5,5.0,5.0,5.0,5.0,1.0,45.0,37.5,R,-17.1769436684,-2.22479633629,0,PA,Pennsylvania,0.597,0.108,1,1,0,1.24398543083,0.456920646746,2.7225415172,0.721546116075
213,Patrick Leahy,Patrick_Leahy,2016,http://www.ontheissues.org/Senate/Patrick_Leahy.htm,191855.0,1,0.613,-2.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-2.5,-5.0,-5.0,-2.5,-5.0,-2.5,-2.5,-5.0,-5.0,-5.0,-5.0,1.0,-40.0,-45.0,D,19.9996635238,5.24379643099,2,VT,Vermont,0.5966,-0.0164,1,1,0,0.903979266017,8.95750567509,0.100918637264,0.83937112902
214,Patrick Murphy,Patrick_Murphy,2016,http://www.ontheissues.org/Senate/Patrick_Murphy.htm,4105251.0,0,0.443,-5.0,-5.0,-5.0,0.0,-5.0,-2.5,-5.0,-5.0,2.5,-2.5,-5.0,-5.0,2.5,-2.5,5.0,-5.0,0.0,-5.0,-2.5,-2.5,0.0,-20.0,-32.5,D,14.7080944405,-2.67800633148,7,FL,Florida,0.5065,0.0635,0,1,1,1.32049036832,0.304201040953,4.34084763216,0.317377795031
215,Patrick Wiesner,Patrick_Wiesner,2016,http://www.ontheissues.org/Senate/Patrick_Wiesner.htm,368672.0,0,0.321,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,-2.5,0.0,5.0,0.0,0.0,0.0,0.0,2.5,D,0.276504998904,2.68332150747,4,KS,Kansas,0.3764,0.0554,0,1,0,0.942692330116,2.16053683489,0.436323192872,0.171400069135
216,Patty Judge,Patty_Judge,2016,http://www.ontheissues.org/Senate/Patty_Judge.htm,546974.0,0,0.357,-5.0,-5.0,-5.0,0.0,-5.0,-2.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-2.5,-2.5,-5.0,-2.5,-5.0,0.0,-35.0,-47.5,D,19.6586038549,3.54806268106,2,IA,Iowa,0.4647,0.1077,0,1,0,0.955136041324,1.9355743679,0.493463881918,0.174966933006
