,full_name,first_name,last_name,party,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic,party,x_pca,y_pca,8_clusters
62,Thom_Tillis,Thom,Tillis,R,NC,5.0,2.5,5.0,5.0,5.0,2.5,2.5,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,2.5,5.0,0.0,5.0,42.5,32.5,R,-15.7054329318,3.61155447909,3
63,John_Hoeven,John,Hoeven,R,ND,5.0,-2.5,5.0,5.0,5.0,2.5,-2.5,2.5,2.5,5.0,2.5,2.5,2.5,5.0,0.0,-2.5,2.5,2.5,2.5,-2.5,25.0,17.5,R,-8.78633069208,-0.911662282732,5
64,Heidi_Heitkamp,Heidi,Heitkamp,D,ND,2.5,-5.0,-2.5,0.0,-5.0,-5.0,2.5,2.5,2.5,5.0,-5.0,0.0,0.0,0.0,0.0,-2.5,-2.5,5.0,2.5,2.5,2.5,-5.0,D,1.83363063528,-0.268984635273,4
65,Sherrod_Brown,Sherrod,Brown,D,OH,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,-2.5,-2.5,-5.0,-5.0,-5.0,-37.5,-50.0,D,20.4960090188,5.36858261971,2
66,Rob_Portman,Rob,Portman,R,OH,5.0,2.5,0.0,5.0,5.0,2.5,5.0,-2.5,5.0,5.0,5.0,-2.5,5.0,5.0,5.0,2.5,5.0,5.0,2.5,2.5,25.0,42.5,R,-13.2656446313,-3.20112362153,0
67,James_Inhofe,James,Inhofe,R,OK,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.5,5.0,5.0,5.0,5.0,2.5,5.0,5.0,2.5,5.0,5.0,5.0,5.0,45.0,47.5,R,-19.116827888,-2.05283588913,0
68,James_Lankford,James,Lankford,R,OK,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-5.0,5.0,5.0,5.0,2.5,5.0,5.0,-2.5,5.0,5.0,0.0,2.5,27.5,45.0,R,-16.8869384837,5.41361145833,3
69,Ron_Wyden,Ron,Wyden,D,OR,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-2.5,2.5,-5.0,-5.0,-2.5,2.5,-5.0,-2.5,-5.0,-2.5,-5.0,-2.5,-2.5,-30.0,-37.5,D,17.619364019,1.46649043641,7
70,Jeff_Merkley,Jeff,Merkley,D,OR,-5.0,-5.0,-2.5,2.5,-5.0,-5.0,-5.0,-2.5,2.5,-5.0,-2.5,2.5,-2.5,-2.5,-2.5,-5.0,-2.5,-5.0,-2.5,-2.5,-15.0,-40.0,D,14.3005811358,0.503820923181,7
71,Bob_Casey,Bob,Casey,D,PA,2.5,-5.0,-2.5,2.5,-5.0,-5.0,-5.0,-5.0,0.0,2.5,-5.0,-2.5,-5.0,-2.5,-2.5,-2.5,2.5,-5.0,5.0,-5.0,-2.5,-40.0,D,11.5024036333,-5.38604548162,1
72,Pat_Toomey,Pat,Toomey,R,PA,5.0,-2.5,5.0,5.0,2.5,5.0,5.0,5.0,2.5,5.0,5.0,5.0,2.5,5.0,5.0,2.5,5.0,5.0,5.0,5.0,45.0,37.5,R,-17.1769436684,-2.22479633629,0
73,Jack_Reed,Jack,Reed,D,RI,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-2.5,-5.0,2.5,-2.5,0.0,-5.0,-2.5,-5.0,-30.0,-45.0,D,18.8054884729,1.59982978934,2
74,Sheldon_Whitehouse,Sheldon,Whitehouse,D,RI,-5.0,-5.0,-5.0,0.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-5.0,-5.0,-2.5,-5.0,-2.5,-5.0,-2.5,-5.0,-5.0,-5.0,-37.5,-47.5,D,20.3220827394,3.76905645875,2
75,Lindsey_Graham,Lindsey,Graham,R,SC,5.0,2.5,5.0,5.0,2.5,2.5,5.0,2.5,5.0,5.0,5.0,-2.5,-2.5,5.0,5.0,-2.5,5.0,5.0,5.0,2.5,32.5,32.5,R,-13.7790971256,-2.75654357349,0
76,Tim_Scott,Tim,Scott,R,SC,5.0,2.5,5.0,5.0,5.0,5.0,5.0,2.5,0.0,5.0,5.0,5.0,0.0,5.0,5.0,-2.5,2.5,5.0,2.5,5.0,30.0,42.5,R,-16.4379691462,2.1270538415,3
77,John_Thune,John,Thune,R,SD,5.0,5.0,5.0,5.0,2.5,2.5,2.5,2.5,2.5,5.0,5.0,5.0,5.0,5.0,2.5,-2.5,5.0,5.0,5.0,5.0,35.0,42.5,R,-16.2195389201,-1.91313321513,0
78,Mike_Rounds,Mike,Rounds,R,SD,5.0,5.0,2.5,0.0,2.5,2.5,0.0,5.0,5.0,5.0,0.0,-2.5,5.0,0.0,5.0,-2.5,0.0,2.5,5.0,5.0,22.5,27.5,R,-9.27390919172,-0.199813127482,5
79,Lamar_Alexander,Lamar,Alexander,R,TN,2.5,0.0,5.0,5.0,2.5,5.0,5.0,-2.5,2.5,5.0,5.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5.0,2.5,27.5,32.5,R,-12.0430031783,-2.90232541742,5
80,Bob_Corker,Bob,Corker,R,TN,5.0,-2.5,5.0,2.5,2.5,0.0,2.5,0.0,2.5,5.0,5.0,2.5,0.0,5.0,5.0,-2.5,5.0,-2.5,0.0,5.0,25.0,20.0,R,-9.5697283615,-1.00259311575,5
81,John_Cornyn,John,Cornyn,R,TX,5.0,2.5,5.0,5.0,2.5,2.5,5.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,2.5,5.0,5.0,5.0,2.5,45.0,40.0,R,-17.3011612339,-2.22066394973,0
82,Ted_Cruz,Ted,Cruz,R,TX,5.0,2.5,5.0,5.0,5.0,5.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,-2.5,2.5,5.0,-2.5,5.0,32.5,45.0,R,-16.9242147892,3.57843570807,3
83,Orrin_Hatch,Orrin,Hatch,R,UT,2.5,5.0,5.0,5.0,2.5,2.5,5.0,2.5,2.5,5.0,5.0,2.5,5.0,5.0,5.0,2.5,5.0,5.0,5.0,5.0,37.5,45.0,R,-16.6436589641,-2.44489360526,0
84,Mike_Lee,Mike,Lee,R,UT,5.0,2.5,5.0,5.0,5.0,2.5,2.5,5.0,-2.5,5.0,5.0,5.0,5.0,5.0,5.0,-2.5,5.0,5.0,0.0,5.0,30.0,42.5,R,-16.2782783455,3.67714778408,3
85,Patrick_Leahy,Patrick,Leahy,D,VT,-2.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-2.5,-5.0,-5.0,-2.5,-5.0,-2.5,-2.5,-5.0,-5.0,-5.0,-5.0,-40.0,-45.0,D,19.9996635238,5.24379643099,2
86,Bernie_Sanders,Bernie,Sanders,I,VT,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-5.0,-2.5,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-2.5,-47.5,-45.0,I,20.8713511695,6.92334402861,2
