,full_name,first_name,last_name,party,party_full,state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic,party,x_pca,y_pca,8_clusters
65,Sherrod_Brown,Sherrod,Brown,D,Democrat,OH,-5,-5,-5,-2.5,-5,-5,-5,-5,-5,-5,-5,-2.5,-5,-5,-2.5,-2.5,-2.5,-5,-5,-5,-37.5,-50,D,20.49600902,5.36858262,2
66,Rob_Portman,Rob,Portman,R,Republican,OH,5,2.5,0,5,5,2.5,5,-2.5,5,5,5,-2.5,5,5,5,2.5,5,5,2.5,2.5,25,42.5,R,-13.26564463,-3.201123622,0
67,James_Inhofe,James,Inhofe,R,Republican,OK,5,5,5,5,5,5,5,2.5,5,5,5,5,2.5,5,5,2.5,5,5,5,5,45,47.5,R,-19.11682789,-2.052835889,0
68,James_Lankford,James,Lankford,R,Republican,OK,5,5,5,5,5,5,5,5,-5,5,5,5,2.5,5,5,-2.5,5,5,0,2.5,27.5,45,R,-16.88693848,5.413611458,3
69,Ron_Wyden,Ron,Wyden,D,Democrat,OR,-5,-5,-5,-5,-2.5,-5,-5,-2.5,2.5,-5,-5,-2.5,2.5,-5,-2.5,-5,-2.5,-5,-2.5,-2.5,-30,-37.5,D,17.61936402,1.466490436,7
70,Jeff_Merkley,Jeff,Merkley,D,Democrat,OR,-5,-5,-2.5,2.5,-5,-5,-5,-2.5,2.5,-5,-2.5,2.5,-2.5,-2.5,-2.5,-5,-2.5,-5,-2.5,-2.5,-15,-40,D,14.30058114,0.503820923,7
71,Bob_Casey,Bob,Casey,D,Democrat,PA,2.5,-5,-2.5,2.5,-5,-5,-5,-5,0,2.5,-5,-2.5,-5,-2.5,-2.5,-2.5,2.5,-5,5,-5,-2.5,-40,D,11.50240363,-5.386045482,1
72,Pat_Toomey,Pat,Toomey,R,Republican,PA,5,-2.5,5,5,2.5,5,5,5,2.5,5,5,5,2.5,5,5,2.5,5,5,5,5,45,37.5,R,-17.17694367,-2.224796336,0
73,Jack_Reed,Jack,Reed,D,Democrat,RI,-5,-5,-5,-5,-2.5,-5,-5,-5,-2.5,-5,-5,-5,-2.5,-5,2.5,-2.5,0,-5,-2.5,-5,-30,-45,D,18.80548847,1.599829789,2
74,Sheldon_Whitehouse,Sheldon,Whitehouse,D,Democrat,RI,-5,-5,-5,0,-5,-5,-5,-5,-2.5,-5,-5,-5,-2.5,-5,-2.5,-5,-2.5,-5,-5,-5,-37.5,-47.5,D,20.32208274,3.769056459,2
75,Lindsey_Graham,Lindsey,Graham,R,Republican,SC,5,2.5,5,5,2.5,2.5,5,2.5,5,5,5,-2.5,-2.5,5,5,-2.5,5,5,5,2.5,32.5,32.5,R,-13.77909713,-2.756543573,0
76,Tim_Scott,Tim,Scott,R,Republican,SC,5,2.5,5,5,5,5,5,2.5,0,5,5,5,0,5,5,-2.5,2.5,5,2.5,5,30,42.5,R,-16.43796915,2.127053842,3
77,John_Thune,John,Thune,R,Republican,SD,5,5,5,5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,2.5,-2.5,5,5,5,5,35,42.5,R,-16.21953892,-1.913133215,0
78,Mike_Rounds,Mike,Rounds,R,Republican,SD,5,5,2.5,0,2.5,2.5,0,5,5,5,0,-2.5,5,0,5,-2.5,0,2.5,5,5,22.5,27.5,R,-9.273909192,-0.199813127,5
79,Lamar_Alexander,Lamar,Alexander,R,Republican,TN,2.5,0,5,5,2.5,5,5,-2.5,2.5,5,5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,2.5,27.5,32.5,R,-12.04300318,-2.902325417,5
80,Bob_Corker,Bob,Corker,R,Republican,TN,5,-2.5,5,2.5,2.5,0,2.5,0,2.5,5,5,2.5,0,5,5,-2.5,5,-2.5,0,5,25,20,R,-9.569728362,-1.002593116,5
81,John_Cornyn,John,Cornyn,R,Republican,TX,5,2.5,5,5,2.5,2.5,5,5,2.5,5,5,5,5,5,5,2.5,5,5,5,2.5,45,40,R,-17.30116123,-2.22066395,0
82,Ted_Cruz,Ted,Cruz,R,Republican,TX,5,2.5,5,5,5,5,2.5,5,5,5,5,5,5,5,5,-2.5,2.5,5,-2.5,5,32.5,45,R,-16.92421479,3.578435708,3
83,Orrin_Hatch,Orrin,Hatch,R,Republican,UT,2.5,5,5,5,2.5,2.5,5,2.5,2.5,5,5,2.5,5,5,5,2.5,5,5,5,5,37.5,45,R,-16.64365896,-2.444893605,0
84,Mike_Lee,Mike,Lee,R,Republican,UT,5,2.5,5,5,5,2.5,2.5,5,-2.5,5,5,5,5,5,5,-2.5,5,5,0,5,30,42.5,R,-16.27827835,3.677147784,3
85,Patrick_Leahy,Patrick,Leahy,D,Democrat,VT,-2.5,-5,-5,-5,-5,-5,-5,-5,-2.5,-2.5,-5,-5,-2.5,-5,-2.5,-2.5,-5,-5,-5,-5,-40,-45,D,19.99966352,5.243796431,2
86,Bernie_Sanders,Bernie,Sanders,I,Independent,VT,-5,-5,-5,-5,-5,-5,-5,-5,-5,-2.5,-5,-2.5,-5,-5,-5,-5,-5,-5,-5,-2.5,-47.5,-45,I,20.87135117,6.923344029,2
87,Mark_Warner,Mark,Warner,D,Democrat,VA,-2.5,-5,-2.5,2.5,-2.5,2.5,0,-2.5,2.5,5,-2.5,2.5,2.5,2.5,0,-5,2.5,-2.5,5,-2.5,2.5,-2.5,D,2.399152685,-6.955469949,4
88,Tim_Kaine,Tim,Kaine,D,Democrat,VA,-2.5,-5,-5,0,-2.5,-5,-2.5,-2.5,0,-2.5,-5,-5,-5,0,5,-2.5,-2.5,-2.5,2.5,-5,-12.5,-35,D,12.87835735,-2.639211415,1
89,Patty_Murray,Patty,Murray,D,Democrat,WA,-5,-5,-5,-5,-5,-5,-5,-5,-2.5,-5,-5,-5,5,-5,2.5,-2.5,-2.5,-5,-5,-5,-35,-40,D,19.20445338,2.479823214,2
90,Maria_Cantwell,Maria,Cantwell,D,Democrat,WA,-5,-5,-5,-5,-2.5,-5,-5,-5,-2.5,-5,-5,-5,5,-5,-2.5,-5,-2.5,-5,2.5,-2.5,-35,-35,D,18.33833226,-1.170547545,7
91,Joe_Manchin_III,Joe,Manchin,D,Democrat,WV,2.5,-5,5,0,-5,-5,-5,-2.5,-2.5,5,-5,0,0,5,2.5,-5,2.5,5,5,2.5,7.5,-7.5,D,0.643261882,-4.311713042,4
92,Shelley_Moore_Capito,Shelley,Moore Capito,R,Republican,WV,2.5,-2.5,5,5,0,2.5,5,2.5,-2.5,5,5,2.5,0,5,2.5,-2.5,5,2.5,5,-2.5,25,20,R,-9.655615832,-2.395630631,5
93,Ron_Johnson,Ron,Johnson,R,Republican,WI,5,2.5,5,5,5,5,2.5,5,-2.5,5,5,5,2.5,5,2.5,-2.5,2.5,5,2.5,5,27.5,42.5,O,-15.99091415,3.640884137,3
94,Tammy_Baldwin,Tammy,Baldwin,D,Democrat,WI,-5,-5,-5,-5,-5,-2.5,-5,-5,-5,-5,-5,-5,-2.5,-5,-2.5,-2.5,-5,-5,-5,-5,-45,-45,D,21.03841308,6.219309223,2
95,Michael_Enzi,Michael,Enzi,R,Republican,WY,5,5,5,2.5,2.5,5,5,2.5,2.5,5,5,5,2.5,5,5,2.5,5,5,-2.5,5,32.5,45,R,-16.96295749,3.865550678,3
96,John_Barrasso,John,Barrasso,R,Republican,WY,5,2.5,0,5,2.5,2.5,2.5,2.5,0,5,5,5,2.5,5,5,-2.5,5,5,2.5,5,27.5,37.5,R,-13.86346476,-0.045248918,0
