,can_id,candidate,topic,value,state
308,16,Evan Bayh,9,-2.5,Indiana
309,16,Evan Bayh,10,-2.5,Indiana
310,16,Evan Bayh,11,-5.0,Indiana
311,16,Evan Bayh,12,-2.5,Indiana
312,16,Evan Bayh,13,2.5,Indiana
313,16,Evan Bayh,14,-2.5,Indiana
314,16,Evan Bayh,15,2.5,Indiana
315,16,Evan Bayh,16,-5.0,Indiana
316,16,Evan Bayh,17,2.5,Indiana
317,16,Evan Bayh,18,-2.5,Indiana
318,16,Evan Bayh,19,-2.5,Indiana
319,16,Evan Bayh,20,-5.0,Indiana
320,17,Foster Campbell,1,0.0,Louisiana
321,17,Foster Campbell,2,-5.0,Louisiana
322,17,Foster Campbell,3,0.0,Louisiana
323,17,Foster Campbell,4,0.0,Louisiana
324,17,Foster Campbell,5,-2.5,Louisiana
325,17,Foster Campbell,6,0.0,Louisiana
326,17,Foster Campbell,7,-5.0,Louisiana
327,17,Foster Campbell,8,0.0,Louisiana
328,17,Foster Campbell,9,2.5,Louisiana
329,17,Foster Campbell,10,0.0,Louisiana
330,17,Foster Campbell,11,5.0,Louisiana
331,17,Foster Campbell,12,0.0,Louisiana
332,17,Foster Campbell,13,0.0,Louisiana
333,17,Foster Campbell,14,0.0,Louisiana
334,17,Foster Campbell,15,0.0,Louisiana
335,17,Foster Campbell,16,-5.0,Louisiana
336,17,Foster Campbell,17,0.0,Louisiana
337,17,Foster Campbell,18,0.0,Louisiana
338,17,Foster Campbell,19,0.0,Louisiana
339,17,Foster Campbell,20,0.0,Louisiana
340,18,Frank Gilbert,1,2.5,Arkansas
341,18,Frank Gilbert,2,5.0,Arkansas
342,18,Frank Gilbert,3,-5.0,Arkansas
343,18,Frank Gilbert,4,2.5,Arkansas
344,18,Frank Gilbert,5,5.0,Arkansas
345,18,Frank Gilbert,6,2.5,Arkansas
346,18,Frank Gilbert,7,5.0,Arkansas
347,18,Frank Gilbert,8,-2.5,Arkansas
348,18,Frank Gilbert,9,-2.5,Arkansas
349,18,Frank Gilbert,10,5.0,Arkansas
350,18,Frank Gilbert,11,5.0,Arkansas
351,18,Frank Gilbert,12,-2.5,Arkansas
352,18,Frank Gilbert,13,2.5,Arkansas
353,18,Frank Gilbert,14,5.0,Arkansas
354,18,Frank Gilbert,15,-2.5,Arkansas
355,18,Frank Gilbert,16,-2.5,Arkansas
356,18,Frank Gilbert,17,-5.0,Arkansas
357,18,Frank Gilbert,18,2.5,Arkansas
358,18,Frank Gilbert,19,-2.5,Arkansas
359,18,Frank Gilbert,20,2.5,Arkansas
