idx,can_id,candidate,topic,value
515,26,Joe Heck,16,-5
516,26,Joe Heck,17,2.5
517,26,Joe Heck,18,5
518,26,Joe Heck,19,-2.5
519,26,Joe Heck,20,2.5
520,27,Joe Miller,1,5
521,27,Joe Miller,2,5
522,27,Joe Miller,3,5
523,27,Joe Miller,4,5
524,27,Joe Miller,5,5
525,27,Joe Miller,6,5
526,27,Joe Miller,7,5
527,27,Joe Miller,8,5
528,27,Joe Miller,9,2.5
529,27,Joe Miller,10,5
530,27,Joe Miller,11,5
531,27,Joe Miller,12,5
532,27,Joe Miller,13,2.5
533,27,Joe Miller,14,0
534,27,Joe Miller,15,2.5
535,27,Joe Miller,16,2.5
536,27,Joe Miller,17,5
537,27,Joe Miller,18,5
538,27,Joe Miller,19,2.5
539,27,Joe Miller,20,5
540,28,John Boozman,1,5
541,28,John Boozman,2,2.5
542,28,John Boozman,3,5
543,28,John Boozman,4,5
544,28,John Boozman,5,5
545,28,John Boozman,6,5
546,28,John Boozman,7,5
547,28,John Boozman,8,2.5
548,28,John Boozman,9,5
549,28,John Boozman,10,5
550,28,John Boozman,11,5
551,28,John Boozman,12,5
552,28,John Boozman,13,5
553,28,John Boozman,14,5
554,28,John Boozman,15,2.5
555,28,John Boozman,16,-2.5
556,28,John Boozman,17,5
557,28,John Boozman,18,5
558,28,John Boozman,19,5
559,28,John Boozman,20,2.5
560,29,John Carroll,1,5
561,29,John Carroll,2,0
562,29,John Carroll,3,-2.5
563,29,John Carroll,4,0
564,29,John Carroll,5,2.5
565,29,John Carroll,6,5
566,29,John Carroll,7,-2.5
567,29,John Carroll,8,-5
568,29,John Carroll,9,-5
569,29,John Carroll,10,0
570,29,John Carroll,11,5
571,29,John Carroll,12,2.5
572,29,John Carroll,13,5
573,29,John Carroll,14,-2.5
574,29,John Carroll,15,5
575,29,John Carroll,16,5
576,29,John Carroll,17,2.5
577,29,John Carroll,18,5
578,29,John Carroll,19,0
579,29,John Carroll,20,-2.5
580,30,John Fleming,1,5
581,30,John Fleming,2,2.5
582,30,John Fleming,3,5
583,30,John Fleming,4,5
584,30,John Fleming,5,2.5
585,30,John Fleming,6,5
586,30,John Fleming,7,2.5
587,30,John Fleming,8,2.5
588,30,John Fleming,9,0
589,30,John Fleming,10,5
590,30,John Fleming,11,5
591,30,John Fleming,12,5
592,30,John Fleming,13,0
593,30,John Fleming,14,5
594,30,John Fleming,15,5
595,30,John Fleming,16,-2.5
596,30,John Fleming,17,2.5
597,30,John Fleming,18,5
598,30,John Fleming,19,0
599,30,John Fleming,20,0
600,31,John Hoeven,1,5
601,31,John Hoeven,2,-2.5
602,31,John Hoeven,3,5
603,31,John Hoeven,4,5
604,31,John Hoeven,5,5
605,31,John Hoeven,6,2.5
606,31,John Hoeven,7,-2.5
607,31,John Hoeven,8,2.5
608,31,John Hoeven,9,2.5
609,31,John Hoeven,10,5
610,31,John Hoeven,11,2.5
611,31,John Hoeven,12,2.5
612,31,John Hoeven,13,2.5
613,31,John Hoeven,14,5
614,31,John Hoeven,15,0
615,31,John Hoeven,16,-2.5
616,31,John Hoeven,17,2.5
617,31,John Hoeven,18,2.5
618,31,John Hoeven,19,2.5
619,31,John Hoeven,20,-2.5
620,32,John McCain,1,2.5
621,32,John McCain,2,-2.5
622,32,John McCain,3,-2.5
623,32,John McCain,4,2.5
624,32,John McCain,5,2.5
625,32,John McCain,6,5
626,32,John McCain,7,5
627,32,John McCain,8,-2.5
628,32,John McCain,9,2.5
629,32,John McCain,10,5
630,32,John McCain,11,2.5
631,32,John McCain,12,-2.5
632,32,John McCain,13,5
633,32,John McCain,14,2.5
634,32,John McCain,15,2.5
635,32,John McCain,16,-5
636,32,John McCain,17,5
637,32,John McCain,18,-2.5
638,32,John McCain,19,5
639,32,John McCain,20,2.5
640,33,John Kennedy,1,2.5
641,33,John Kennedy,2,-5
642,33,John Kennedy,3,5
643,33,John Kennedy,4,0
644,33,John Kennedy,5,-5
