idx,candidate,full_name,year,url_name,votes,winner,%_votes_state,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,incumbent,social,economic,party,party_full,x_pca,y_pca,8_clusters,state,state_full,pred,error,winner_pred,is_correct,battleground,relative_marginalchange_impact,relative_impact_voters,relative_impact_donation
189,Michael Bennet,Michael_Bennet,2016,http://www.ontheissues.org/Senate/Michael_Bennet.htm,1246357,1,0.492,-5,-5,-5,0,-2.5,-5,-2.5,-2.5,0,-2.5,-5,-5,2.5,-5,5,-5,2.5,-2.5,5,-2.5,1,-10,-30,D,Democrat,12.45812404,-5.711627348,1,CO,Colorado,0.5065,0.0145,0,0,1,1.468055567,1.117637295,1.313534877
192,Mike Crapo,Michael_Crapo,2016,http://www.ontheissues.org/Senate/Michael_Crapo.htm,447342,1,0.661,5,-2.5,5,5,2.5,5,5,-2.5,5,5,5,5,2.5,5,5,5,5,5,2.5,2.5,1,40,35,R,Republican,-15.28528855,-3.596271107,0,ID,Idaho,0.6178,-0.0432,1,1,0,0.635297476,3.7978765,0.167277023
197,Mike Lee,Mike_Lee,2016,http://www.ontheissues.org/Senate/Mike_Lee.htm,659769,1,0.68,5,2.5,5,5,5,2.5,2.5,5,-2.5,5,5,5,5,5,5,-2.5,5,5,0,5,1,30,42.5,R,Republican,-16.27827835,3.677147784,3,UT,Utah,0.6631,-0.0169,1,1,0,0.586937896,2.220896955,0.264279662
201,Mike Workman,Mike_Workman,2016,http://www.ontheissues.org/Senate/Mike_Workman.htm,355389,0,0.246,-5,0,-5,0,-5,0,-5,0,0,5,0,-5,-2.5,0,0,-5,0,-5,0,-2.5,0,-20,-15,D,Democrat,9.386435125,-0.322440171,1,OK,Oklahoma,0.3558,0.1098,0,1,0,0.502390018,1.598027899,0.314381256
202,Misty Snow,Misty_Snow,2016,http://www.ontheissues.org/Senate/Misty_Snow.htm,265674,0,0.274,-5,-5,-5,0,-5,2.5,0,-5,-5,-5,0,-5,0,0,0,-5,0,-5,-5,0,0,-35,-17.5,D,Democrat,12.44868483,3.55754839,7,UT,Utah,0.3801,0.1061,0,1,0,0.586937896,2.220896955,0.264279662
211,Pat Toomey,Pat_Toomey,2016,http://www.ontheissues.org/Senate/Pat_Toomey.htm,2893833,1,0.489,5,-2.5,5,5,2.5,5,5,5,2.5,5,5,5,2.5,5,5,2.5,5,5,5,5,1,45,37.5,R,Republican,-17.17694367,-2.224796336,0,PA,Pennsylvania,0.597,0.108,1,1,0,1.243985431,0.456920647,2.722541517
213,Patrick Leahy,Patrick_Leahy,2016,http://www.ontheissues.org/Senate/Patrick_Leahy.htm,191855,1,0.613,-2.5,-5,-5,-5,-5,-5,-5,-5,-2.5,-2.5,-5,-5,-2.5,-5,-2.5,-2.5,-5,-5,-5,-5,1,-40,-45,D,Democrat,19.99966352,5.243796431,2,VT,Vermont,0.5966,-0.0164,1,1,0,0.903979266,8.957505675,0.100918637
214,Patrick Murphy,Patrick_Murphy,2016,http://www.ontheissues.org/Senate/Patrick_Murphy.htm,4105251,0,0.443,-5,-5,-5,0,-5,-2.5,-5,-5,2.5,-2.5,-5,-5,2.5,-2.5,5,-5,0,-5,-2.5,-2.5,0,-20,-32.5,D,Democrat,14.70809444,-2.678006331,7,FL,Florida,0.5065,0.0635,0,1,1,1.320490368,0.304201041,4.340847632
215,Patrick Wiesner,Patrick_Wiesner,2016,http://www.ontheissues.org/Senate/Patrick_Wiesner.htm,368672,0,0.321,0,0,0,0,0,0,-5,0,0,0,2.5,0,0,0,2.5,-2.5,0,5,0,0,0,0,2.5,D,Democrat,0.276504999,2.683321507,4,KS,Kansas,0.3764,0.0554,0,1,0,0.94269233,2.160536835,0.436323193
216,Patty Judge,Patty_Judge,2016,http://www.ontheissues.org/Senate/Patty_Judge.htm,546974,0,0.357,-5,-5,-5,0,-5,-2.5,-5,-5,-5,-5,-5,-5,-5,-5,-2.5,-2.5,-2.5,-5,-2.5,-5,0,-35,-47.5,D,Democrat,19.65860385,3.548062681,2,IA,Iowa,0.4647,0.1077,0,1,0,0.955136041,1.935574368,0.493463882
