Year,state_abbr,candidate,votes
2016,SD,Jay Williams,104125
2016,SD,John Thune,265494
2016,UT,Bill Barron,22406
2016,UT,Mike Lee,659769
2016,UT,Misty Snow,265674
2016,UT,Stoney Fonua,22662
2016,VT,Cris Ericson,9140
2016,VT,Jerry Trudell,5403
2016,VT,Patrick Leahy,191855
2016,VT,Pete Diamondstone,3233
2016,VT,Scott Milne,103266
2016,WA,Chris Vance,1220755
2016,WA,Patty Murray,1765333
2016,WI,Phil Anderson,87392
2016,WI,Ron Johnson,1478170
2016,WI,Russ Feingold,1378922
