,state_abbr,year,candidate,party,votes_total
431,OK,2014,Joan Farr,IND,10534.0
432,OK,2014,Ray Woods,IND,9890.0
433,OK,2014,Aaron DeLozier,IND,7786.0
434,OR,2014,Jeff Merkley,DEM,744516.0
435,OR,2014,Monica Wehby,GOP,498191.0
436,OR,2014,Mike Montchalin,LIB,40649.0
437,OR,2014,Christina Lugo,PAG,28897.0
438,OR,2014,James Leuenberger,CST,22205.0
439,RI,2014,John Reed,DEM,222776.0
440,RI,2014,Mark Zaccaria,GOP,92389.0
441,SC,2014,Lindsey Graham,GOP,665605.0
442,SC,2014,Brad Hutto,DEM,475532.0
443,SC,2014,Thomas Ravenel,PEC,47205.0
444,SC,2014,Victor Kocher,LIB,33481.0
445,SD,2014,Mike Rounds,GOP,140721.0
446,SD,2014,Rick Weiland,DEM,82408.0
447,SD,2014,Larry Pressler,IND,47728.0
448,SD,2014,Gordon Howie,IND,8469.0
449,TN,2014,Lamar Alexander,GOP,849748.0
450,TN,2014,Gordon Ball,DEM,437175.0
451,TN,2014,Joe Wilmoth,CST,36056.0
452,TN,2014,Martin Pleasant,GRN,12530.0
453,TN,2014,Tom Emerson,IND,11146.0
454,TN,2014,Danny Page,IND,7711.0
455,TN,2014,Rick Tyler,IND,5751.0
456,TN,2014,Joshua James,IND,5671.0
457,TN,2014,Bartholomew Phillips,IND,2380.0
458,TN,2014,Edmund Gauthier,IND,2308.0
459,TN,2014,Eric Schechter,IND,1668.0
460,TN,2014,C. Salekin,IND,784.0
461,TX,2014,John Cornyn,GOP,2855068.0
462,TX,2014,David Alameel,DEM,1594252.0
463,TX,2014,Rebecca Paddock,LIB,133467.0
464,TX,2014,Emily Sanchez,GRN,54587.0
465,VA,2014,Mark Warner,DEM,1071283.0
466,VA,2014,Ed Gillespie,GOP,1054556.0
467,VA,2014,Robert Sarvis,LIB,53396.0
468,WV,2014,Shelley Capito,GOP,280123.0
469,WV,2014,Natalie Tennant,DEM,155456.0
470,WV,2014,John Buckley,LIB,7360.0
471,WV,2014,Bob Baber,MNT,5448.0
472,WV,2014,Phil Hudok,CST,2544.0
473,WY,2014,Michael Enzi,GOP,119534.0
474,WY,2014,Charlie Hardy,DEM,29043.0
475,WY,2014,Curt Gottshall,IND,13175.0
476,WY,2014,Joseph Porambo,LIB,3602.0
477,AL,2016,Richard Shelby,GOP,1323184.0
478,AL,2016,Ron Crumpton,DEM,737542.0
479,AK,2016,Lisa Murkowski,GOP,111382.0
480,AK,2016,Joe Miller,LIB,74245.0
481,AK,2016,Margaret Stock,NPA,34579.0
482,AK,2016,Ray Metcalfe,DEM,28026.0
483,AK,2016,Breck Craig,NPA,2027.0
484,AK,2016,Ted Gianoutsos,NPA,1385.0
485,AZ,2016,John McCain,GOP,1089324.0
486,AZ,2016,Ann Kirkpatrick,DEM,839542.0
487,AZ,2016,Gary Swing,GRN,112151.0
488,AR,2016,John Boozman,GOP,657856.0
489,AR,2016,Conner Eldridge,DEM,397970.0
490,AR,2016,Frank Gilbert,LIB,43720.0
491,CA,2016,Kamala Harris,DEM,6495907.0
492,CA,2016,Loretta Sanchez,DEM,3918486.0
493,CO,2016,Michael Bennet,DEM,1246357.0
494,CO,2016,Darryl Glenn,GOP,1149326.0
495,CO,2016,Lily Williams,LIB,88492.0
496,CO,2016,Arn Menconi,GRN,31679.0
497,CO,2016,Bill Hammons,UTY,8408.0
498,CO,2016,Dan Chapin,UNA,7471.0
499,CO,2016,Paul Fiorino,UNA,2738.0
500,CT,2016,Richard Blumenthal,DEM,986291.0
501,CT,2016,Dan Carter,GOP,546489.0
502,CT,2016,Richard Lion,LIB,17907.0
503,CT,2016,Jeffery Russell,GRN,16437.0
504,FL,2016,Marco Rubio,GOP,4822182.0
505,FL,2016,Patrick Murphy,DEM,4105251.0
506,FL,2016,Paul Stanton,LIB,196188.0
507,FL,2016,Bruce Nathan,NPA,52274.0
508,FL,2016,Tony Khoury,NPA,45604.0
509,FL,2016,Steven Machat,NPA,26789.0
510,FL,2016,Basil Dalack,NPA,22134.0
511,GA,2016,Johnny Isakson,GOP,2110737.0
512,GA,2016,Jim Barksdale,DEM,1565006.0
513,GA,2016,Allen Buckley,LIB,159914.0
514,HI,2016,Brian Schatz,DEM,306543.0
515,HI,2016,John Carroll,GOP,92620.0
516,HI,2016,Joy Allison,CST,9096.0
517,HI,2016,Michael Kokoski,LIB,6806.0
518,ID,2016,Mike Crapo,GOP,447342.0
519,ID,2016,Jerry Sturgill,DEM,188104.0
520,ID,2016,Ray Writz,CST,41645.0
521,IL,2016,Tammy Duckworth,DEM,2908363.0
522,IL,2016,Mark Kirk,GOP,2150099.0
523,IL,2016,Kenton McMillen,LIB,172068.0
524,IL,2016,Scott Summers,GRN,113965.0
525,IN,2016,Todd Young,GOP,1423001.0
526,IN,2016,Evan Bayh,DEM,1157799.0
527,IN,2016,Lucy Brenton,LIB,149365.0
528,IA,2016,Charles Grassley,GOP,923280.0
529,IA,2016,Patty Judge,DEM,546974.0
530,IA,2016,Charles Aldrich,LIB,41609.0
531,IA,2016,Jim Hennager,OTH,17571.0
532,IA,2016,Michael Luick-Thrams,PEC,4416.0
533,KS,2016,Jerry Moran,GOP,716661.0
534,KS,2016,Patrick Wiesner,DEM,368672.0
535,KS,2016,Robert Garrard,LIB,63428.0
536,KY,2016,Rand Paul,GOP,1090151.0
537,KY,2016,Jim Gray,DEM,813222.0
538,LA,2016,John Kennedy,GOP,482380.0
539,LA,2016,Foster Campbell,DEM,337682.0
540,LA,2016,Charles Boustany,GOP,297744.0
541,LA,2016,Caroline Fayard,DEM,240748.0
542,LA,2016,John Fleming,GOP,203959.0
543,LA,2016,Rob Maness,GOP,90812.0
544,LA,2016,David Duke,GOP,58581.0
545,LA,2016,Derrick Edwards,DEM,51724.0
546,LA,2016,Gary Landrieu,DEM,45520.0
547,LA,2016,Donald Crawford,GOP,25503.0
548,LA,2016,Joseph Cao,GOP,21011.0
549,LA,2016,Beryl Billiot,NPA,19340.0
550,LA,2016,Thomas Clements,LIB,11363.0
551,LA,2016,Troy Hebert,NPA,9484.0
552,LA,2016,Joshua Pellerin,DEM,7386.0
553,LA,2016,Peter Williams,DEM,6844.0
554,LA,2016,Vinny Mendoza,DEM,4923.0
555,LA,2016,Kaitlin Marone,NPA,4102.0
556,LA,2016,Le Roy Gillam,LIB,4063.0
557,LA,2016,Charles Marsala,GOP,3683.0
558,LA,2016,Abhay Patel,GOP,1574.0
559,LA,2016,Arden Wells,NPA,1481.0
560,LA,2016,Bob Lang,OTH,1424.0
561,LA,2016,Gregory Taylor,OTH,1150.0
