,full_name,first_name,last_name,party,state,url,year,next_senate_year,reelection_year
157,Kelly_Ayotte,Kelly,Ayotte,R,NH,http://www.ontheissues.org/Senate/Kelly_Ayotte.htm,2014,2016,2020
158,Bob_Menendez,Bob,Menendez,D,NJ,http://www.ontheissues.org/Senate/Bob_Menendez.htm,2014,2016,2020
159,Cory_Booker,Cory,Booker,D,NJ,http://www.ontheissues.org/Senate/Cory_Booker.htm,2014,2016,2020
160,Tom_Udall,Tom,Udall,D,NM,http://www.ontheissues.org/Senate/Tom_Udall.htm,2014,2016,2020
161,Martin_Heinrich,Martin,Heinrich,R,NM,http://www.ontheissues.org/Senate/Martin_Heinrich.htm,2014,2016,2020
162,Charles_Schumer,Charles,Schumer,D,NY,http://www.ontheissues.org/Senate/Charles_Schumer.htm,2014,2016,2020
163,Kirsten_Gillibrand,Kirsten,Gillibrand,D,NY,http://www.ontheissues.org/Senate/Kirsten_Gillibrand.htm,2014,2016,2020
164,Richard_Burr,Richard,Burr,R,NC,http://www.ontheissues.org/Senate/Richard_Burr.htm,2014,2016,2020
165,Thom_Tillis,Thom,Tillis,R,NC,http://www.ontheissues.org/Senate/Thom_Tillis.htm,2014,2016,2020
166,John_Hoeven,John,Hoeven,R,ND,http://www.ontheissues.org/Senate/John_Hoeven.htm,2014,2016,2020
167,Heidi_Heitkamp,Heidi,Heitkamp,D,ND,http://www.ontheissues.org/Senate/Heidi_Heitkamp.htm,2014,2016,2020
168,Sherrod_Brown,Sherrod,Brown,D,OH,http://www.ontheissues.org/Senate/Sherrod_Brown.htm,2014,2016,2020
169,Rob_Portman,Rob,Portman,R,OH,http://www.ontheissues.org/Senate/Rob_Portman.htm,2014,2016,2020
170,James_Inhofe,James,Inhofe,R,OK,http://www.ontheissues.org/Senate/James_Inhofe.htm,2014,2016,2020
171,James_Lankford,James,Lankford,R,OK,http://www.ontheissues.org/Senate/James_Lankford.htm,2014,2016,2020
172,Ron_Wyden,Ron,Wyden,D,OR,http://www.ontheissues.org/Senate/Ron_Wyden.htm,2014,2016,2020
173,Jeff_Merkley,Jeff,Merkley,D,OR,http://www.ontheissues.org/Senate/Jeff_Merkley.htm,2014,2016,2020
174,Bob_Casey,Bob,Casey,D,PA,http://www.ontheissues.org/Senate/Bob_Casey.htm,2014,2016,2020
175,Pat_Toomey,Pat,Toomey,R,PA,http://www.ontheissues.org/Senate/Pat_Toomey.htm,2014,2016,2020
176,Jack_Reed,Jack,Reed,D,RI,http://www.ontheissues.org/Senate/Jack_Reed.htm,2014,2016,2020
177,Sheldon_Whitehouse,Sheldon,Whitehouse,D,RI,http://www.ontheissues.org/Senate/Sheldon_Whitehouse.htm,2014,2016,2020
178,Lindsey_Graham,Lindsey,Graham,R,SC,http://www.ontheissues.org/Senate/Lindsey_Graham.htm,2014,2016,2020
179,Tim_Scott,Tim,Scott,R,SC,http://www.ontheissues.org/Senate/Tim_Scott.htm,2014,2016,2020
180,John_Thune,John,Thune,R,SD,http://www.ontheissues.org/Senate/John_Thune.htm,2014,2016,2020
181,Mike_Rounds,Mike,Rounds,D,SD,http://www.ontheissues.org/Senate/Mike_Rounds.htm,2014,2016,2020
182,Lamar_Alexander,Lamar,Alexander,R,TN,http://www.ontheissues.org/Senate/Lamar_Alexander.htm,2014,2016,2020
183,Bob_Corker,Bob,Corker,R,TN,http://www.ontheissues.org/Senate/Bob_Corker.htm,2014,2016,2020
