,state_abbr,year,candidate,party,votes_total
344,AR,2014,Tom Cotton,GOP,476309
345,AR,2014,Mark Pryor,DEM,332669
346,AR,2014,Nathan LaFrance,LIB,17103
347,AR,2014,Mark Swaney,GRN,16717
348,CO,2014,Cory Gardner,GOP,965974
349,CO,2014,Mark Udall,DEM,916245
350,CO,2014,Gaylon Kent,LIB,51225
351,CO,2014,Steve Shogan,UNA,28604
352,CO,2014,Raul Acosta,UNA,23342
353,CO,2014,Bill Hammons,UTY,6217
354,DC,2014,Paul Strauss,DEM,99082
355,DC,2014,David Schwartzman,DCG,13703
356,DC,2014,Glenda Richmond,IND,8947
357,DC,2014,John Daniel,LIB,6399
358,DE,2014,Christopher Coons,DEM,130645
359,DE,2014,Kevin Wade,GOP,98819
360,DE,2014,Andrew Groff,GRN,4560
361,GA,2014,David Perdue,GOP,1355392
362,GA,2014,Michelle Nunn,DEM,1154388
363,GA,2014,Amanda Swafford,LIB,48930
364,HI,2014,Brian Schatz,DEM,246720
365,HI,2014,Cam Cavasso,GOP,97972
366,HI,2014,Michael Kokoski,LIB,8936
367,ID,2014,Jim Risch,GOP,285322
368,ID,2014,Nels Mitchell,DEM,151697
369,IL,2014,Richard Durbin,DEM,1850862
370,IL,2014,Jim Oberweis,GOP,1503942
371,IL,2014,Sharon Hansen,LIB,130762
372,IA,2014,Joni Ernst,GOP,586921
373,IA,2014,Bruce Braley,DEM,491708
374,IA,2014,Rick Stewart,IND,26662
375,IA,2014,Douglas Butzier,LIB,8315
376,IA,2014,Bob Quast,OTH,5928
377,IA,2014,Ruth Smith,IND,4711
378,KS,2014,Pat Roberts,GOP,449974
379,KS,2014,Greg Orman,IND,358898
380,KS,2014,Randall Batson,LIB,36002
381,KY,2014,Mitch McConnell,GOP,806795
382,KY,2014,Alison Lundergan Grimes,DEM,584699
383,KY,2014,David Patterson,LIB,44240
384,LA,2014,Mary Landrieu,DEM,618840
385,LA,2014,William Cassidy,GOP,602439
386,LA,2014,Rob Maness,GOP,202413
387,LA,2014,Thomas Clements,GOP,14158
388,LA,2014,Brannon McMorris,LIB,13024
389,LA,2014,Wayne Ables,DEM,11318
390,LA,2014,William Waymire,DEM,4669
391,LA,2014,Vallian Senegal,DEM,3831
392,ME,2014,Susan Collins,GOP,412211
393,ME,2014,Shenna Bellows,DEM,189653
394,MA,2014,Edward Markey,DEM,1285736
395,MA,2014,Brian Herr,GOP,789378
396,MI,2014,Gary Peters,DEM,1693781
397,MI,2014,Terri Lynn Land,GOP,1283850
398,MI,2014,Jim Fulner,LIB,62504
399,MI,2014,Richard Matkin,UST,37155
400,MI,2014,Chris Wahmhoff,GRN,26040
401,MN,2014,Al Franken,DEM,1052794
402,MN,2014,Mike McFadden,GOP,849932
403,MN,2014,Steve Carlson,INP,47604
404,MN,2014,Heather Johnson,LIB,29686
405,MS,2014,Thad Cochran,GOP,370208
406,MS,2014,Travis Childers,DEM,228974
407,MS,2014,Shawn O'Hara,RP,13660
408,MT,2014,Steve Daines,GOP,210863
409,MT,2014,Amanda Curtis,DEM,145601
410,MT,2014,Roger Roots,LIB,7712
411,NE,2014,Ben Sasse,GOP,339868
412,NE,2014,Dave Domina,DEM,162874
413,NE,2014,Jim Jenkins,PEC,15513
414,NE,2014,Todd Watson,PEC,6114
415,NH,2014,Jeanne Shaheen,DEM,250722
416,NH,2014,Scott Brown,GOP,234846
417,NJ,2014,Cory Booker,DEM,1016204
418,NJ,2014,Jeff Bell,GOP,772991
419,NJ,2014,Joseph Baratelli,IND,16304
420,NJ,2014,Hank Schroeder,IND,5519
421,NJ,2014,Jeff Boss,IND,4405
422,NJ,2014,Eugene Lavergne,IND,3790
423,NJ,2014,Antonio Sabas,IND,3422
424,NM,2014,Tom Udall,DEM,280074
425,NM,2014,Allen Weh,GOP,225706
426,NC,2014,Thom Tillis,GOP,1413269
427,NC,2014,Kay Hagan,DEM,1364758
428,NC,2014,Sean Haugh,LIB,108183
429,OK,2014,James Inhofe,GOP,557537
430,OK,2014,Matt Silverstein,DEM,233932
431,OK,2014,Joan Farr,IND,10534
432,OK,2014,Ray Woods,IND,9890
433,OK,2014,Aaron DeLozier,IND,7786
434,OR,2014,Jeff Merkley,DEM,744516
435,OR,2014,Monica Wehby,GOP,498191
436,OR,2014,Mike Montchalin,LIB,40649
437,OR,2014,Christina Lugo,PAG,28897
438,OR,2014,James Leuenberger,CST,22205
439,RI,2014,John Reed,DEM,222776
440,RI,2014,Mark Zaccaria,GOP,92389
