,full_name,first_name,last_name,party,state,url,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,social,economic
51,Steve_Daines,Steve,Daines,R,MT,http://www.ontheissues.org/Senate/Steve_Daines.htm,5,-3,5,5,5,2,2,5,0,5,5,3,2,2,-5,0,3,5,-5,0,16,25
52,Deb_Fischer,Deb,Fischer,R,NE,http://www.ontheissues.org/Senate/Deb_Fischer.htm,5,2,5,5,5,2,2,5,5,5,5,5,0,5,5,-5,5,5,-5,5,30,36
53,Ben_Sasse,Ben,Sasse,R,NE,http://www.ontheissues.org/Senate/Ben_Sasse.htm,5,0,5,5,5,5,2,0,0,5,5,5,0,5,5,-2,3,5,-2,5,24,37
54,Catherine_Cortez_Masto,Catherine,Cortez-Masto,D,NV,http://www.ontheissues.org/Senate/Catherine_Cortez_Masto.htm,-5,-5,3,0,-5,-5,-5,-5,3,-3,-3,-5,-5,-3,0,-5,3,-5,-2,-3,-13,-42
55,Dean_Heller,Dean,Heller,R,NV,http://www.ontheissues.org/Senate/Dean_Heller.htm,3,-5,3,0,5,0,2,0,-2,5,5,5,2,5,0,-5,5,2,3,-3,12,18
56,Jeanne_Shaheen,Jeanne,Shaheen,D,NH,http://www.ontheissues.org/Senate/Jeanne_Shaheen.htm,-5,-5,-5,-2,-5,-3,-3,0,3,0,-3,-2,2,-3,0,-5,3,-3,3,-5,-10,-28
57,Maggie_Hassan,Maggie,Hassan,D,NH,http://www.ontheissues.org/Senate/Maggie_Hassan.htm,-5,-5,-5,0,-5,0,-5,3,3,-3,0,3,2,2,3,-2,5,-5,-2,-5,3,-24
58,Bob_Menendez,Bob,Menendez,D,NJ,http://www.ontheissues.org/Senate/Bob_Menendez.htm,-5,-5,-5,-2,-5,-5,-5,-5,3,-5,-5,-5,-3,-5,3,-2,-2,-5,-2,-5,-22,-48
59,Cory_Booker,Cory,Booker,D,NJ,http://www.ontheissues.org/Senate/Cory_Booker.htm,-5,-5,-2,-5,-5,-3,5,-5,-2,-5,2,-5,-3,-5,3,-5,-2,-5,-2,-3,-30,-27
60,Tom_Udall,Tom,Udall,D,NM,http://www.ontheissues.org/Senate/Tom_Udall.htm,-5,-5,-5,-5,-5,-3,-5,-5,-2,-5,-5,-5,-3,-5,-2,-2,-5,-5,-2,-5,-38,-46
